RecYear,ID,Season,BurnFreq,CanopyEffect
2014,1DA1,Early,1,71.32
2014,1DA2,Early,1,49.73
2014,1DA3,Early,1,58.05
2014,1DA4,Early,1,73.04
2014,1DA5,Early,1,65.66
2014,1DA6,Early,1,72.71
2014,1DB1,Early,1,67.29
2014,1DB2,Early,1,61.19
2014,1DB3,Early,1,64.31
2014,1DB4,Early,1,60.86
2014,1DB5,Early,1,63.51
2014,1DB6,Early,1,78.23
2014,1DC1,Early,1,53.25
2014,1DC2,Early,1,56.87
2014,1DC3,Early,1,55.82
2014,1DC4,Early,1,60.06
2014,1DC5,Early,1,33.24
2014,1DC6,Early,1,68.04
2014,SpBD1,Early,1,40.33
2014,SpBD2,Early,1,44.22
2014,SpBD3,Early,1,36.34
2014,SpBD4,Early,1,46.01
2014,SpBD5,Early,1,40.44
2014,SpBD6,Early,1,54.93
2014,SpBE1,Early,1,45.12
2014,SpBE2,Early,1,61.42
2014,SpBE3,Early,1,44.33
2014,SpBE4,Early,1,51.17
2014,SpBE5,Early,1,69.39
2014,SpBE6,Early,1,57.3
2014,SpBF1,Early,1,59
2014,SpBF2,Early,1,56.25
2014,SpBF3,Early,1,76.76
2014,SpBF4,Early,1,50.13
2014,SpBF5,Early,1,45.85
2014,SpBF6,Early,1,56.02
2014,20BD1,Early,20,12.43
2014,20BD2,Early,20,12.39
2014,20BD3,Early,20,13.25
2014,20BD4,Early,20,8.53
2014,20BD5,Early,20,27.86
2014,20BD6,Early,20,14.77
2014,20BE1,Early,20,9.46
2014,20BE2,Early,20,13.57
2014,20BE3,Early,20,10.19
2014,20BE4,Early,20,24.26
2014,20BE5,Early,20,17.28
2014,20BE6,Early,20,9.73
2014,20BF1,Early,20,2.72
2014,20BF2,Early,20,12.53
2014,20BF3,Early,20,11.4
2014,20BF4,Early,20,4.62
2014,20BF5,Early,20,6.74
2014,20BF6,Early,20,31.12
2014,20CA1,Early,20,5.83
2014,20CA2,Early,20,11.56
2014,20CA3,Early,20,12.2
2014,20CA4,Early,20,22.91
2014,20CA5,Early,20,13.37
2014,20CA6,Early,20,10.57
2014,20CB1,Early,20,6.92
2014,20CB2,Early,20,7.16
2014,20CB3,Early,20,18.4
2014,20CB4,Early,20,5.64
2014,20CB5,Early,20,10.42
2014,20CB6,Early,20,9.06
2014,20CC1,Early,20,14.16
2014,20CC2,Early,20,7.26
2014,20CC3,Early,20,6.56
2014,20CC4,Early,20,10.85
2014,20CC5,Early,20,8.99
2014,20CC6,Early,20,21.53
2014,1DA1,Late,1,28.62
2014,1DA2,Late,1,28.79
2014,1DA3,Late,1,27.22
2014,1DA4,Late,1,24.34
2014,1DA5,Late,1,39.67
2014,1DA6,Late,1,31.62
2014,1DB1,Late,1,39.1
2014,1DB2,Late,1,32.72
2014,1DB3,Late,1,31.42
2014,1DB4,Late,1,42.19
2014,1DB5,Late,1,26.49
2014,1DB6,Late,1,47.05
2014,1DC1,Late,1,40.77
2014,1DC2,Late,1,34.81
2014,1DC3,Late,1,36.39
2014,1DC4,Late,1,40.33
2014,1DC5,Late,1,30.32
2014,1DC6,Late,1,49.47
2014,SpBD1,Late,1,14.78
2014,SpBD2,Late,1,18.01
2014,SpBD3,Late,1,13.2
2014,SpBD4,Late,1,15.76
2014,SpBD5,Late,1,12.68
2014,SpBD6,Late,1,23.89
2014,SpBE1,Late,1,25.47
2014,SpBE2,Late,1,29.29
2014,SpBE3,Late,1,28.86
2014,SpBE4,Late,1,34.1
2014,SpBE5,Late,1,43.14
2014,SpBE6,Late,1,31.84
2014,SpBF1,Late,1,33.5
2014,SpBF2,Late,1,32.1
2014,SpBF3,Late,1,24.65
2014,SpBF4,Late,1,29.63
2014,SpBF5,Late,1,31.57
2014,SpBF6,Late,1,32.77
2014,20BD1,Late,20,7.55
2014,20BD2,Late,20,5.9
2014,20BD3,Late,20,9.24
2014,20BD4,Late,20,4.02
2014,20BD5,Late,20,2.84
2014,20BD6,Late,20,4.48
2014,20BE1,Late,20,4.68
2014,20BE2,Late,20,4.51
2014,20BE3,Late,20,3.85
2014,20BE4,Late,20,9.43
2014,20BE5,Late,20,2.4
2014,20BE6,Late,20,7.51
2014,20BF1,Late,20,1.66
2014,20BF2,Late,20,9.93
2014,20BF3,Late,20,13.12
2014,20BF4,Late,20,1.41
2014,20BF5,Late,20,4.19
2014,20BF6,Late,20,18.01
2014,20CA1,Late,20,5.49
2014,20CA2,Late,20,9.68
2014,20CA3,Late,20,7.12
2014,20CA4,Late,20,18.48
2014,20CA5,Late,20,2.38
2014,20CA6,Late,20,4.4
2014,20CB1,Late,20,6.78
2014,20CB2,Late,20,5.13
2014,20CB3,Late,20,5.54
2014,20CB4,Late,20,4.16
2014,20CB5,Late,20,4.37
2014,20CB6,Late,20,2.15
2014,20CC1,Late,20,4.35
2014,20CC2,Late,20,3.25
2014,20CC3,Late,20,2.32
2014,20CC4,Late,20,4.86
2014,20CC5,Late,20,2.96
2014,20CC6,Late,20,5.85
