"","BurnTrt","Block","Plot","Shannon"
"1","Annual","A",1,0.96112451638012
"2","Annual","A",2,0.951001655620175
"3","Annual","A",3,0.964108077775066
"4","Annual","A",4,0.952594577872301
"5","Annual","A",5,0.952538531393427
"6","Annual","A",6,0.952190794891391
"7","Annual","B",1,0.949921568910928
"8","Annual","B",2,0.970512905287752
"9","Annual","B",3,0.965472698004581
"10","Annual","B",4,0.964051341320458
"11","Annual","B",5,0.942132219242897
"12","Annual","B",6,0.960206859623625
"13","Annual","C",1,0.964683208284559
"14","Annual","C",2,0.973317131399826
"15","Annual","C",3,0.967684649173072
"16","Annual","C",4,0.960936091581035
"17","Annual","C",5,0.939626835619748
"18","Annual","C",6,0.967170353346739
"19","Annual","D",1,0.937272752722488
"20","Annual","D",2,0.946459589355509
"21","Annual","D",3,0.953343343648872
"22","Annual","D",4,0.93935970467492
"23","Annual","D",5,0.953134962309505
"24","Annual","D",6,0.954632954941413
"25","Annual","E",1,0.949787582176771
"26","Annual","E",2,0.945695627704788
"27","Annual","E",3,0.951206679215178
"28","Annual","E",4,0.950520427524057
"29","Annual","E",5,0.946509941156223
"30","Annual","E",6,0.949483652140976
"31","Annual","F",1,0.950397232644505
"32","Annual","F",2,0.965903342809528
"33","Annual","F",3,0.951236319277788
"34","Annual","F",4,0.959213433272831
"35","Annual","F",5,0.961724525557098
"36","Annual","F",6,0.952467641880515
"37","Unburned","A",1,0.973348018196006
"38","Unburned","A",2,0.975594264795997
"39","Unburned","A",3,0.969308649699116
"40","Unburned","A",4,0.976639597039474
"41","Unburned","A",5,0.973737550160535
"42","Unburned","A",6,0.974060481597637
"43","Unburned","B",1,0.964284998898303
"44","Unburned","B",2,0.957443234008758
"45","Unburned","B",3,0.96968605017792
"46","Unburned","B",4,0.964050215741506
"47","Unburned","B",5,0.965363002863908
"48","Unburned","B",6,0.959543945958442
"49","Unburned","C",1,0.976988161769125
"50","Unburned","C",2,0.952835774140496
"51","Unburned","C",3,0.967804561318075
"52","Unburned","C",4,0.969052566829014
"53","Unburned","C",5,0.970629460711996
"54","Unburned","C",6,0.963922228768622
"55","Unburned","D",1,0.970782051078554
"56","Unburned","D",2,0.977664896344116
"57","Unburned","D",3,0.969826572261558
"58","Unburned","D",4,0.974204153238878
"59","Unburned","D",5,0.984021832806665
"60","Unburned","D",6,0.967332869284919
"61","Unburned","E",1,0.96759235326351
"62","Unburned","E",2,0.958271238861272
"63","Unburned","E",3,0.968173205648083
"64","Unburned","E",4,0.979631888426094
"65","Unburned","E",5,0.959728943758573
"66","Unburned","E",6,0.960422684822069
"67","Unburned","F",1,0.936274094540526
"68","Unburned","F",2,0.960836313714491
"69","Unburned","F",3,0.974241991594442
"70","Unburned","F",4,0.953002646502836
"71","Unburned","F",5,0.956235609926896
"72","Unburned","F",6,0.975727598650315
