Site,Habitat,Tc,Active_Bacteria,Active_Fungi,Discoast,Soil Density,pH,CEC,OM,Sand,Silt,Clay
ZR,CSS,3043.274583,30.01,5.32,2,1.139803215,6.73,43.8,6.36,29,26,45
ZR,CSS,4437.73819,28.82,5.38,2,1.183396851,6.73,43.8,6.36,29,26,45
ZR,CSS,5149.708794,36.01,9.25,2,1.046688779,6.73,43.8,6.36,29,26,45
ZR,CSS,4670.360287,27.76,13.88,2,1.454940899,6.73,43.8,6.36,29,26,45
ZR,CSS,2507.121575,32.62,16.15,2,1.177052383,6.73,43.8,6.36,29,26,45
ZR,CSS,3253.976485,33.01,19.52,2,1.390588241,6.73,43.8,6.36,29,26,45
ZR,NNG,2630.81768,38.26,15.97,2,0.894835946,7.94,40.2,4.49,35,21,44
ZR,NNG,4142.474249,46.01,14.74,2,1.294523203,7.94,40.2,4.49,35,21,44
ZR,NNG,2991.727244,36.05,9.8,2,1.128953677,7.94,40.2,4.49,35,21,44
ZR,NNG,3619.427072,40.8,16.7,2,1.124045675,7.94,40.2,4.49,35,21,44
ZR,NNG,4061.780712,55.37,7.27,2,1.372223214,7.94,40.2,4.49,35,21,44
ZR,NNG,4175.063854,34.48,14.68,2,1.32963817,7.94,40.2,4.49,35,21,44
SMM,CSS,3714.916949,45.75,163.86,2,0.755064421,5.21,23.7,5.96,35,34,31
SMM,CSS,3547.154275,47.21,118.37,2,1.140564076,5.21,23.7,5.96,35,34,31
SMM,CSS,3253.247257,38.04,96.43,2,0.945711412,5.21,23.7,5.96,35,34,31
SMM,CSS,5289.127641,49.92,104.16,2,1.072845363,5.21,23.7,5.96,35,34,31
SMM,CSS,2767.080567,46.25,100,2,0.96413957,5.21,23.7,5.96,35,34,31
SMM,CSS,2426.05491,34.52,81.07,2,0.872681622,5.21,23.7,5.96,35,34,31
SMM,MUS,4033.419632,25.51,15.69,2,1.594237009,6.66,42.7,7.59,32,24,44
SMM,MUS,5229.070901,18.88,10.31,2,1.409453073,6.66,42.7,7.59,32,24,44
SMM,MUS,5173.987816,26.85,38.1,2,1.231901861,6.66,42.7,7.59,32,24,44
SMM,MUS,6121.538608,35.68,27.52,2,1.372542289,6.66,42.7,7.59,32,24,44
SMM,MUS,5910.028208,31.17,16.85,2,1.325118432,6.66,42.7,7.59,32,24,44
SMM,MUS,6471.197385,31.91,21.06,2,1.492859155,6.66,42.7,7.59,32,24,44
CHE,CSS,3998.171356,32.68,7.21,13,1.241668123,5.93,30.7,5.49,50,25,25
CHE,CSS,2709.550498,32.58,4.4,13,1.138466596,5.93,30.7,5.49,50,25,25
CHE,CSS,3104.192238,31.62,3.06,13,1.124707333,5.93,30.7,5.49,50,25,25
CHE,CSS,2884.202447,32.3,5.21,13,0.945640147,5.93,30.7,5.49,50,25,25
CHE,CSS,4238.703246,34.13,15.46,13,1.081301848,5.93,30.7,5.49,50,25,25
CHE,CSS,2692.248347,37.37,5.28,13,1.064129781,5.93,30.7,5.49,50,25,25
CHE,NNG,2900.378194,40.07,14.74,13,0.906368186,6.9,32,4.59,48,25,27
CHE,NNG,2727.698502,28.32,6.18,13,0.912273747,6.9,32,4.59,48,25,27
CHE,NNG,2758.211888,31.95,19.58,13,0.974633176,6.9,32,4.59,48,25,27
CHE,NNG,2489.817095,33.77,20.39,13,0.939553621,6.9,32,4.59,48,25,27
CHE,NNG,1856.864111,27.31,8.16,13,1.067163282,6.9,32,4.59,48,25,27
CHE,NNG,3116.346732,32.34,7.14,13,1.101182591,6.9,32,4.59,48,25,27
DES,CSS,4902.417689,31.29,22.2,34,1.036451943,5.54,18.7,4.75,61,25,14
DES,CSS,1596.019563,37.62,16.22,34,0.933344774,5.54,18.7,4.75,61,25,14
DES,CSS,5159.470648,31.35,18.78,34,1.258407475,5.54,18.7,4.75,61,25,14
DES,CSS,2367.16027,29.95,17.17,34,0.978165401,5.54,18.7,4.75,61,25,14
DES,CSS,5204.627737,20.34,10.76,34,0.924445424,5.54,18.7,4.75,61,25,14
DES,CSS,3562.193864,32.41,22.51,34,1.038540485,5.54,18.7,4.75,61,25,14
DES,NNG,2148.283362,48.15,16.73,34,1.23464561,6.54,20.1,4.62,63,24,13
DES,NNG,2580.841358,56.08,10.5,34,0.905558371,6.54,20.1,4.62,63,24,13
DES,NNG,2908.022817,53.18,16.32,34,0.944163252,6.54,20.1,4.62,63,24,13
DES,NNG,2449.802863,49.78,12.11,34,1.033672094,6.54,20.1,4.62,63,24,13
DES,NNG,3617.064006,49.58,21.41,34,0.951858949,6.54,20.1,4.62,63,24,13
DES,NNG,1951.765141,55.92,24.73,34,0.891216959,6.54,20.1,4.62,63,24,13
EAT,CSS,1354.659663,17.41,4.15,41,1.198813861,5.56,11.8,2.65,88,6,6
EAT,CSS,1561.381137,26.2,4.19,41,0.848576705,5.56,11.8,2.65,88,6,6
EAT,CSS,1179.166411,24.82,8.81,41,1.112421142,5.56,11.8,2.65,88,6,6
EAT,CSS,2360.910514,17.24,1.96,41,0.805771507,5.56,11.8,2.65,88,6,6
EAT,CSS,1199.434007,29.65,4.89,41,0.944436226,5.56,11.8,2.65,88,6,6
EAT,CSS,977.6891293,22.76,1.96,41,1.17793871,5.56,11.8,2.65,88,6,6
EAT,NNG,1133.914466,13.31,0.97,41,0.73155772,6.29,13.2,2.3,83,11,6
EAT,NNG,1760.894697,31.03,2.94,41,0.898415662,6.29,13.2,2.3,83,11,6
EAT,NNG,1524.052116,36.55,2.94,41,1.154584936,6.29,13.2,2.3,83,11,6
EAT,NNG,1488.776552,27.58,1.96,41,1.02674245,6.29,13.2,2.3,83,11,6
EAT,NNG,1670.919043,37.24,1.96,41,0.913070515,6.29,13.2,2.3,83,11,6
EAT,NNG,2159.334342,26.89,4.89,41,1.058497227,6.29,13.2,2.3,83,11,6
VOR,CSS,1193.101368,16.72,4.94,43,1.371380883,5.84,21.2,3.58,71,14,15
VOR,CSS,896.7832359,17.42,2.97,43,1.042771205,5.84,21.2,3.58,71,14,15
VOR,CSS,910.5516772,21.25,4.94,43,1.124137873,5.84,21.2,3.58,71,14,15
VOR,CSS,4455.716565,20.55,14.83,43,1.318259339,5.84,21.2,3.58,71,14,15
VOR,CSS,2607.747598,17.59,3.99,43,1.082052945,5.84,21.2,3.58,71,14,15
VOR,CSS,953.9632362,18.11,6.92,43,1.514227359,5.84,21.2,3.58,71,14,15
VOR,MUS,1084.69547,10.8,0.99,43,1.013734084,4.83,23.6,3.27,67,17,16
VOR,MUS,2053.302918,15.5,4.09,43,1.042285745,4.83,23.6,3.27,67,17,16
VOR,MUS,1156.462455,12.54,1.98,43,1.376741018,4.83,23.6,3.27,67,17,16
VOR,MUS,1697.011374,10.45,1.02,43,1.060632109,4.83,23.6,3.27,67,17,16
VOR,MUS,1945.209697,15.67,7.16,43,0.948882779,4.83,23.6,3.27,67,17,16
VOR,MUS,1359.504836,16.89,3.95,43,1.161969946,4.83,23.6,3.27,67,17,16
BFS,CSS,1478.088667,9.22,10.3,55,1.136991282,5.11,9.5,3.5,82,11,7
BFS,CSS,2485.856127,8.79,0.98,55,1.242928063,5.11,9.5,3.5,82,11,7
BFS,CSS,3105.652487,11.38,1.96,55,0.916121678,5.11,9.5,3.5,82,11,7
BFS,CSS,1919.010706,17.58,5.87,55,0.999484743,5.11,9.5,3.5,82,11,7
BFS,CSS,926.3082509,13.45,1.96,55,1.218826646,5.11,9.5,3.5,82,11,7
