"","Species","Body_weight","Brain_weight","Total_sleep","Lifespan","Gestation","Sleep_cat","log_Weight","log_Lifespan","log_Sleep"
"1","African giant pouched rat",1,6.6,8.3,4.5,42,"Low",0,1.50407739677627,2.11625551480255
"2","Arctic Fox",3.38,44.5,12.5,14,60,"High",1.21787570949493,2.63905732961526,2.52572864430826
"3","Baboon",10.55,179.5,9.8,27,180,"Low",2.35612585992208,3.29583686600433,2.28238238567653
"4","Big brown bat",0.02,0.3,19.7,19,35,"High",-3.91202300542815,2.94443897916644,2.98061863574394
"5","Brazilian tapir",160,169,6.2,30.4,392,"Low",5.07517381523383,3.41444260841218,1.82454929205105
"6","Cat",3.3,25.6,14.5,28,63,"High",1.19392246847243,3.3322045101752,2.67414864942653
"7","Chimpanzee",52.16,440,9.7,50,230,"Low",3.9543159176184,3.91202300542815,2.27212588550934
"8","Chinchilla",0.42,6.4,12.5,7,112,"High",-0.867500567704723,1.94591014905531,2.52572864430826
"9","Eastern American mole",7.5,1.2,8.4,3.5,42,"Low",2.01490302054226,1.25276296849537,2.12823170584927
"10","Echidna",3,25,8.6,15,28,"Low",1.09861228866811,2.70805020110221,2.15176220325946
"11","European hedgehog",0.79,3.5,10.7,6,42,"Low",-0.23572233352107,1.79175946922805,2.37024374146786
"12","Galago",0.2,5,10.7,10.4,120,"Low",-1.6094379124341,2.34180580614733,2.37024374146786
"13","Genet",1.41,17.5,6.1,34,NA,"Low",0.343589704390077,3.52636052461616,1.80828877117927
"14","Giant armadillo",60,81,18.1,7,NA,"High",4.0943445622221,1.94591014905531,2.89591193827178
"15","Goat",27.66,115,3.8,20,148,"Low",3.31998732623661,2.99573227355399,1.33500106673234
"16","Golden hamster",0.12,1,14.4,3.9,16,"High",-2.12026353620009,1.3609765531356,2.66722820658195
"17","Gray seal",85,325,6.2,41,310,"Low",4.44265125649032,3.71357206670431,1.82454929205105
"18","Gray wolf",36.33,119.5,13,16.2,63,"High",3.59264384623311,2.78501124223834,2.56494935746154
"19","Ground squirrel",0.1,4,13.8,9,28,"High",-2.30258509299405,2.19722457733622,2.62466859216316
"20","Guinea pig",1.04,5.5,8.2,7.6,68,"Low",0.0392207131532813,2.02814824729229,2.10413415427021
"21","Little brown bat",0.01,0.25,19.9,24,50,"High",-4.60517018598809,3.17805383034795,2.99071973173045
"22","Mouse",0.02,0.4,13.2,3.2,19,"High",-3.91202300542815,1.16315080980568,2.58021682959233
"23","Musk shrew",4.8,0.33,12.8,2,30,"High",1.56861591791385,0.693147180559945,2.54944517092557
"24","N. American opossum",1.7,6.3,19.4,5,12,"High",0.53062825106217,1.6094379124341,2.96527306606928
"25","Nine-banded armadillo",3.5,10.8,17.4,6.5,120,"High",1.25276296849537,1.87180217690159,2.85647020622048
"26","Owl monkey",0.48,15.5,17,12,140,"High",-0.7339691750802,2.484906649788,2.83321334405622
"27","Patas monkey",10,115,10.9,20.2,170,"High",2.30258509299405,3.00568260440716,2.3887627892351
"28","Phanlanger",1.62,11.4,13.7,13,17,"High",0.482426149244293,2.56494935746154,2.61739583283408
"29","Pig",192,180,8.4,27,115,"Low",5.25749537202778,3.29583686600433,2.12823170584927
"30","Rabbit",2.5,12.1,8.4,18,31,"Low",0.916290731874155,2.89037175789616,2.12823170584927
"31","Raccoon",4.29,39.2,12.5,13.7,63,"High",1.45628673293993,2.61739583283408,2.52572864430826
"32","Rat",0.28,1.9,13.2,4.7,21,"High",-1.27296567581289,1.54756250871601,2.58021682959233
"33","Red fox",4.24,50.4,9.8,9.8,52,"Low",1.44456326924387,2.28238238567653,2.28238238567653
"34","Rhesus monkey",6.8,179,9.6,29,164,"Low",1.91692261218206,3.36729582998647,2.26176309847379
"35","Rock hyrax (Hetero. b)",0.75,12.3,6.6,7,225,"Low",-0.287682072451781,1.94591014905531,1.88706964903238
"36","Roe deer",14.83,98.2,2.6,17,150,"Low",2.69665215614984,2.83321334405622,0.955511445027436
"37","Sheep",55.5,175,3.8,20,151,"Low",4.01638302075239,2.99573227355399,1.33500106673234
"38","Slow loris",1.4,12.5,11,12.7,90,"High",0.336472236621213,2.54160199346455,2.39789527279837
"39","Star nosed mole",0.06,1,10.3,3.5,NA,"Low",-2.81341071676004,1.25276296849537,2.33214389523559
"40","Tenrec",0.9,2.6,13.3,4.5,60,"High",-0.105360515657826,1.50407739677627,2.58776403522771
"41","Tree hyrax",2,12.3,5.4,7.5,200,"Low",0.693147180559945,2.01490302054226,1.68639895357023
"42","Tree shrew",0.1,2.5,15.8,2.3,46,"High",-2.30258509299405,0.832909122935104,2.76000994003292
"43","Vervet",4.19,58,10.3,24,210,"Low",1.43270073393405,3.17805383034795,2.33214389523559
"44","Water opossum",3.5,3.9,19.4,3,14,"High",1.25276296849537,1.09861228866811,2.96527306606928
